key,level,type,category,fullname,publisher,url
jslhr,B,Journal,8,"Journal of Speech, Language, and Hearing Research",American Speech- Language Hearing Association,http://jslhr.pubs.asha.org/
ml,B,Journal,8,Machine Learning,Springer,http://dblp.uni-trier.de/db/journals/ml/
neco,B,Journal,8,Neural Computation,MIT Press,http://dblp.uni-trier.de/db/journals/neco/
nn,B,Journal,8,Neural Networks,Elsevier,http://dblp.uni-trier.de/db/journals/nn/
pr,B,Journal,8,Pattern Recognition,Elsevier,http://dblp.uni-trier.de/db/conf/par/
tacl,B,Journal,8,Transactions of the Association for Computational Linguistics,The Association for Computational Linguistics,https://dblp.org/db/journals/tacl/index.html
tallip,C,Journal,8,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/
apin,C,Journal,8,Applied Intelligence,Springer,http://dblp.uni-trier.de/db/journals/apin/
aim,C,Journal,8,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/
alife,C,Journal,8,Artificial Life,MIT Press,http://dblp.uni-trier.de/db/journals/alife/
ci,C,Journal,8,Computational Intelligence,Wiley,http://dblp.uni-trier.de/db/journals/ci/
csl,C,Journal,8,Computer Speech and Language,Elsevier,http://dblp.uni-trier.de/db/journals/csl/
connection,C,Journal,8,Connection Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/connection/
dss,C,Journal,8,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/
eaai,C,Journal,8,Engineering Applications of Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/eaai/
es,C,Journal,8,Expert Systems,Blackwell/Wiley,http://dblp.uni-trier.de/db/journals/es/
eswa,C,Journal,8,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/
fss,C,Journal,8,Fuzzy Sets and Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fss/
tg,C,Journal,8,IEEE Transactions on Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/
ietcvi,C,Journal,8,IET Computer Vision,IET,http://digital-library.theiet.org/content/journals/iet-cvi
ietspr,C,Journal,8,IET Signal Processing,IET,* http://digital-library.theiet.org/content/journals/iet-spr
ivc,C,Journal,8,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/
ida,C,Journal,8,Intelligent Data Analysis,IOS Press,http://dblp.uni-trier.de/db/journals/ida/
ijcia,C,Journal,8,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/
ijis,C,Journal,8,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
