key,level,type,category
journal/10.1002,C,Journal,7
journals/cg,C,Journal,7
journals/dcg,C,Journal,7
journals/spl,C,Journal,7
journals/iet-ipr,C,Journal,7
journals/jvcir,C,Journal,7
journals/mms,C,Journal,7
journals/mta,C,Journal,7
journals/sigpro,C,Journal,7
journals/spic,C,Journal,7
journals/vc,C,Journal,7
conf/mm,A,Conference,7
conf/siggraph,A,Conference,7
conf/vr,A,Conference,7
conf/visualization,A,Conference,7
conf/mir,B,Conference,7
conf/si3d,B,Conference,7
conf/sca,B,Conference,7
conf/dcc,B,Conference,7
conf/eurographics,B,Conference,7
conf/vissym,B,Conference,7
conf/sgp,B,Conference,7
conf/rt,B,Conference,7
conf/icassp,B,Conference,7
conf/icmcs,B,Conference,7
conf/ismar,B,Conference,7
conf/pg,B,Conference,7
conf/sma,B,Conference,7
conf/vrst,C,Conference,7
conf/ca,C,Conference,7
conf/cgi,C,Conference,7
conf/interspeech,C,Conference,7
conf/gmp,C,Conference,7
conf/apvis,C,Conference,7
conf/3dim,C,Conference,7
conf/cadgraphics,C,Conference,7
conf/icip,C,Conference,7
conf/mmm,C,Conference,7
conf/pcm,C,Conference,7
conf/smi,C,Conference,7
journals/ai,A,Journal,8
journals/pami,A,Journal,8
journals/ijcv,A,Journal,8
journals/jmlr,A,Journal,8
journals/tap,B,Journal,8
journals/tslp,B,Journal,8
journals/aamas,B,Journal,8
journals/coling,B,Journal,8
journals/cviu,B,Journal,8
journals/dke,B,Journal,8
journals/ec,B,Journal,8
journals/taffco,B,Journal,8
journals/taslp,B,Journal,8
journals/tcyb,B,Journal,8
journals/tec,B,Journal,8
journals/tfs,B,Journal,8
journals/tnn,B,Journal,8
journals/ijar,B,Journal,8
journals/jair,B,Journal,8
journals/jar,B,Journal,8
jslhr.pubs.asha.org,B,Journal,8
journals/ml,B,Journal,8
journals/neco,B,Journal,8
journals/nn,B,Journal,8
conf/par,B,Journal,8
journals/talip,C,Journal,8
journals/apin,C,Journal,8
journals/artmed,C,Journal,8
